STATE_CODE,SHRP_ID,CONSTRUCTION_NO_AFTER,CONSTRUCTION_NO_BEFORE,MRI_BEFORE,MRI_BEFORE_DATE,MRI_AFTER,MRI_AFTER_DATE,CN_ASSIGN_DATE,MAINTENANCE,DAYS_SINCE_MAINTENANCE,YEAR,H_AC,Eng_Fab,Treated_Base,Treated_Subbase,H_TOT,Added_Thickness,CONSTRUCTION_NO,AADTT,AGE
13,4096,2,1,0.951499992609024,1999-06-23,0.8424000084400177,2001-08-02,2001-04-01,"Aggregate Seal Coat, Hot-Mix Recycled Asphalt Concrete Overlay",123,1999,104.1,False,True,False,264.1,43.2,1,1615,14
13,4119,2,1,0.9768999934196472,1992-05-25,0.945600003004074,1994-05-06,1993-06-01,"Patch Pot Holes - Hand Spread, Compacted with Truck",339,1992,66.0,False,True,False,833.1,0.0,1,89595,14
13,4420,3,2,1.7792999744415283,1992-04-27,0.7741999924182892,1992-10-28,1992-10-13,Asphalt Concrete Overlay,15,1992,116.9,False,True,False,317.6,45.7,2,4363,8
16,1001,2,1,1.646000015735626,1997-07-08,1.068699985742569,1998-05-20,1998-04-01,Aggregate Seal Coat,49,1997,94.0,False,False,False,327.7,5.1,1,6384,24
16,1001,3,2,1.9152999997138973,1999-05-11,1.3891999959945678,2001-05-02,2000-07-01,Asphalt Concrete Overlay,305,1999,99.1,False,False,False,332.8,30.5,2,6815,26
16,1007,2,1,1.40900000333786,1997-05-02,0.8824000060558319,1998-06-16,1997-08-07,"Asphalt Concrete Overlay, Aggregate Seal Coat",313,1997,91.5,False,False,False,584.3000000000001,94.0,1,4791,25
16,1007,3,2,0.8416000068187713,2005-08-02,0.8519999921321869,2007-10-21,2007-06-01,"Surface Treatment, Single Layer",142,2005,185.5,False,False,False,678.3000000000001,5.1,2,5804,33
16,1009,2,1,1.5606000065803527,1991-08-14,0.9392000019550324,1992-10-24,1992-10-01,Aggregate Seal Coat,23,1991,269.2,False,False,False,502.9,15.2,1,6965,17
16,1010,2,1,1.6196000099182128,1996-12-15,1.7521333336830138,1997-05-10,1997-03-01,"Patch Pot Holes - Hand Spread, Compacted with Truck",70,1996,276.9,False,False,False,414.1,0.0,1,7430,27
16,1020,2,1,0.7203999936580658,1992-10-04,0.6892000079154968,1993-12-05,1993-04-14,Crack Sealing,235,1992,96.5,False,False,False,617.2,0.0,1,1044,6
16,1020,3,2,0.7499999940395355,2007-10-18,0.7864999949932099,2009-05-01,2008-08-01,"Patch Pot Holes - Hand Spread, Compacted with Truck",273,2007,96.5,False,False,False,617.2,0.0,2,3597,21
